"ejemplo","serie","parametros","h","MASE_metodo","MASE_referente","MSE_validacion","MSE_referente"
"media simple","Nile","ninguno",12,0.842936731708468,0.835452893848949,19867.931947314,19685
"media movil (k = 2)","LakeHuron","k = 2",12,1.82599043715842,2.16419057377053,1.58174166666659,2.2384083333334
"SES (alpha = 0.24)","Nile","alpha = 0.24",12,0.806225909774413,0.835452893848949,17864.4598407702,19685
"doble media movil (k = 2)","austres","k = 2",12,1.86322723011741,6.09122885609282,12643.4208333381,133004.790833332
"tendencia lineal","austres","MCO, 2 coeficientes",12,3.97354792573965,6.09122885609282,44430.9653791297,133004.790833332
"tendencia cuadratica","airmiles","MCO, 3 coeficientes",4,1.20547830760609,4.49587949202918,2416497.7367054,32979149.5
"tendencia exponencial","JohnsonJohnson","MCO en logaritmos, correccion de sesgo",12,3.58597846692184,6.52857142857143,8.32870488841119,15.581025
"Holt lineal (alpha = 0.95, beta = 0.95)","WWWusage","alpha = 0.95, beta = 0.95",12,1.89032149869146,7.62467700258398,94.6994802212476,1415.41666666667
"media simple (contraejemplo)","AirPassengers","contraejemplo",12,7.01721649997512,1.57088122605364,51196.1540977961,2571.33333333333
